EnemyId,EnemyType,MaxHp,MoveSpeed,AlertRange,CombatRange,AttackRange,AttackDamage,AttackCooldown,PreAttackDelay,PostAttackStun,AttackType,WanderRadius,WanderInterval
# ════════════════════════════════════════════════════════════════
# 적 수치 데이터 정의
# ─ 열 설명 ───────────────────────────────────────────────────────
#   EnemyId        : 고유 ID (EnemyController 및 EnemySpawner 에서 참조)
#   EnemyType      : Slime | Goblin | Orc
#   MaxHp          : 최대 체력 (1 이상)
#   MoveSpeed      : 초당 이동 속도 (Unity 유닛/초)
#   AlertRange     : 플레이어 감지 거리
#   CombatRange    : 전투(추적) 전환 거리 — AlertRange 이하
#   AttackRange    : 공격 판정 거리 — CombatRange 이하
#   AttackDamage   : 1회 피해량
#   AttackCooldown : 공격 후 다음 공격까지 대기 시간 (초)
#   PreAttackDelay : 공격 발동 전 선딜 (초)
#   PostAttackStun : 공격 발동 후 후딜(멍) (초)
#   AttackType     : Melee | Ranged
#   WanderRadius   : Idle 배회 반경 (스폰 위치 기준, Unity 유닛)
#   WanderInterval : 배회 목적지 도달 후 다음 이동까지 대기 시간 (초)
# ════════════════════════════════════════════════════════════════

# ─ 슬라임 계열 ───────────────────────────────────────────────────
# 체력 낮음 / 이동 느림 / 공격력 약함 — 튜토리얼 적
slime_basic,Slime,30,2,10,6,2,5,2,0.2,0.4,Melee,3,3
slime_large,Slime,60,1.5,10,6,2.5,10,2.5,0.3,0.6,Melee,2,4

# ─ 고블린 계열 ───────────────────────────────────────────────────
# 체력 보통 / 이동 빠름 / 공격 빈도 높음
goblin_warrior,Goblin,60,3,12,8,2.5,12,1.8,0.3,0.5,Melee,4,2
goblin_archer,Goblin,45,2.5,14,10,8,10,2,0.4,0.3,Ranged,4,2

# ─ 오크 계열 ─────────────────────────────────────────────────────
# 체력 높음 / 이동 느림 / 공격력 강함 / 후딜 김
orc_grunt,Orc,120,2.5,14,10,3,20,2.5,0.5,0.8,Melee,2,4
orc_warrior,Orc,200,2,14,10,3.5,35,3,0.7,1.2,Melee,2,5
